ID_CITY;NAME;ID_STATE
22007;Comuna 1;2
22014;Comuna 2;2
22021;Comuna 3;2
22028;Comuna 4;2
22035;Comuna 5;2
22042;Comuna 6;2
22049;Comuna 7;2
22056;Comuna 8;2
22063;Comuna 9;2
22070;Comuna 10;2
22077;Comuna 11;2
22084;Comuna 12;2
22091;Comuna 13;2
22098;Comuna 14;2
22105;Comuna 15;2
60007;Adolfo Alsina;6
60014;Adolfo Gonzales Chaves;6
60021;Alberti;6
60028;Almirante Brown;6
60035;Avellaneda;6
60042;Ayacucho;6
60049;Azul;6
60056;Bahía Blanca;6
60063;Balcarce;6
60070;Baradero;6
60077;Arrecifes;6
60084;Benito Juárez;6
60091;Berazategui;6
60098;Berisso;6
60105;Bolívar;6
60112;Bragado;6
60119;Brandsen;6
60126;Campana;6
60134;Cañuelas;6
60140;Capitán Sarmiento;6
60147;Carlos Casares;6
60154;Carlos Tejedor;6
60161;Carmen de Areco;6
60168;Castelli;6
60175;Colón;6
60182;Coronel de Marina Leonardo Rosales;6
60189;Coronel Dorrego;6
60196;Coronel Pringles;6
60203;Coronel Suárez;6
60210;Chacabuco;6
60218;Chascomús;6
60224;Chivilcoy;6
60231;Daireaux;6
60238;Dolores;6
60245;Ensenada;6
60252;Escobar;6
60260;Esteban Echeverría;6
60266;Exaltación de la Cruz;6
60270;Ezeiza;6
60274;Florencio Varela;6
60277;Florentino Ameghino;6
60280;General Alvarado;6
60287;General Alvear;6
60294;General Arenales;6
60301;General Belgrano;6
60308;General Guido;6
60315;General Juan Madariaga;6
60322;General La Madrid;6
60329;General Las Heras;6
60336;General Lavalle;6
60343;General Paz;6
60351;General Pinto;6
60357;General Pueyrredón;6
60364;General Rodríguez;6
60371;General San Martín;6
60385;General Viamonte;6
60392;General Villegas;6
60399;Guaminí;6
60406;Hipólito Yrigoyen;6
60408;Hurlingham;6
60410;Ituzaingó;6
60412;José C. Paz;6
60413;Junín;6
60420;La Costa;6
60427;La Matanza;6
60434;Lanús;6
60441;La Plata;6
60448;Laprida;6
60455;Las Flores;6
60462;Leandro N. Alem;6
60466;Lezama;6
60469;Lincoln;6
60476;Lobería;6
60483;Lobos;6
60490;Lomas de Zamora;6
60497;Luján;6
60505;Magdalena;6
60511;Maipú;6
60515;Malvinas Argentinas;6
60518;Mar Chiquita;6
60525;Marcos Paz;6
60532;Mercedes;6
60539;Merlo;6
60547;Monte;6
60553;Monte Hermoso;6
60560;Moreno;6
60568;Morón;6
60574;Navarro;6
60581;Necochea;6
60588;9 de Julio;6
60595;Olavarría;6
60602;Patagones;6
60609;Pehuajó;6
60616;Pellegrini;6
60623;Pergamino;6
60630;Pila;6
60638;Pilar;6
60644;Pinamar;6
60648;Presidente Perón;6
60651;Puán;6
60655;Punta Indio;6
60658;Quilmes;6
60665;Ramallo;6
60672;Rauch;6
60679;Rivadavia;6
60686;Rojas;6
60693;Roque Pérez;6
60700;Saavedra;6
60707;Saladillo;6
60714;Salto;6
